node_id,type,value,time
88,F,b'41.85',1769022502.00488
88,H,b'41.21',1769022502.040891
88,P,b'30.08',1769022502.042388
108,F,b'27.66',1769022709.147563
108,H,b'57.54',1769022709.181219
108,P,b'30.02',1769022709.182844
1,F,b'71.04',1769022792.750644
1,H,b'32.19',1769022792.840891
1,P,b'30.05',1769022792.842444
88,F,b'41.94',1769023243.883749
88,H,b'41.21',1769023243.918822
88,P,b'30.07',1769023243.920732
1,F,b'70.93',1769023392.75676
1,H,b'32.23',1769023392.792973
1,P,b'30.05',1769023392.794449
108,F,b'27.99',1769023443.603013
108,H,b'57.39',1769023443.694571
108,P,b'30.02',1769023443.696237
106,F,b'71.02',1769023672.93727
106,H,b'31.61',1769023672.970796
106,P,b'30.06',1769023672.972113
88,F,b'41.99',1769023985.733322
88,H,b'41.21',1769023985.766818
88,P,b'30.07',1769023985.768236
1,F,b'70.81',1769023992.769023
1,H,b'32.37',1769023992.808625
1,P,b'30.04',1769023992.810404
108,F,b'28.31',1769024178.170031
108,H,b'57.38',1769024178.216611
108,P,b'30.01',1769024178.218198
106,F,b'70.81',1769024431.664267
106,H,b'31.67',1769024431.702512
106,P,b'30.05',1769024431.704234
1,F,b'70.72',1769024592.790847
1,H,b'32.50',1769024592.824731
1,P,b'30.04',1769024592.826163
88,F,b'42.04',1769024727.413764
88,H,b'41.22',1769024727.448822
88,P,b'30.07',1769024727.450567
108,F,b'28.87',1769024912.933611
108,H,b'57.47',1769024912.966734
108,P,b'30.01',1769024912.968137
106,F,b'70.56',1769025190.328546
106,H,b'31.77',1769025190.363544
106,P,b'30.05',1769025190.365304
1,F,b'70.54',1769025192.786909
1,H,b'32.67',1769025192.82046
1,P,b'30.04',1769025192.821694
88,F,b'42.10',1769025469.05921
88,H,b'41.25',1769025469.144168
88,P,b'30.07',1769025469.145579
108,F,b'29.35',1769025647.753219
108,H,b'57.36',1769025647.831382
108,P,b'30.01',1769025647.832953
1,F,b'69.80',1769025792.794714
1,H,b'33.15',1769025792.871295
1,P,b'30.06',1769025792.872699
106,F,b'70.30',1769025948.968486
106,H,b'31.81',1769025949.062053
106,P,b'30.06',1769025949.063581
88,F,b'42.17',1769026210.881792
88,H,b'41.26',1769026210.922556
88,P,b'30.07',1769026210.924058
108,F,b'29.57',1769026382.703513
108,H,b'57.10',1769026382.740682
108,P,b'30.01',1769026382.742589
1,F,b'70.14',1769026392.804776
1,H,b'32.89',1769026392.839293
1,P,b'30.02',1769026392.840877
106,F,b'70.16',1769026707.563729
106,H,b'31.89',1769026707.603929
106,P,b'30.04',1769026707.605787
88,F,b'42.22',1769026952.813886
88,H,b'41.29',1769026952.850962
88,P,b'30.05',1769026952.852749
1,F,b'70.54',1769026992.814402
1,H,b'32.84',1769026992.908644
1,P,b'30.01',1769026992.910356
108,F,b'29.59',1769027117.590731
108,H,b'57.12',1769027117.626955
108,P,b'30.00',1769027117.628199
106,F,b'70.39',1769027466.163001
106,H,b'32.06',1769027466.278161
106,P,b'30.02',1769027466.279972
1,F,b'70.63',1769027592.824847
1,H,b'33.31',1769027592.877367
1,P,b'30.01',1769027592.87891
88,F,b'42.26',1769027694.796708
88,H,b'41.28',1769027694.833814
88,P,b'30.05',1769027694.83535
108,F,b'29.71',1769027852.577145
108,H,b'57.21',1769027852.611744
108,P,b'30.00',1769027852.613229
1,F,b'70.66',1769028192.829842
1,H,b'33.75',1769028192.905491
1,P,b'30.02',1769028192.906952
106,F,b'70.88',1769028224.888211
106,H,b'32.12',1769028224.92066
106,P,b'30.01',1769028224.922017
88,F,b'42.35',1769028436.858065
88,H,b'41.27',1769028436.92121
88,P,b'30.04',1769028436.92269
108,F,b'30.07',1769028587.737327
108,H,b'57.46',1769028587.781841
108,P,b'29.98',1769028587.783574
1,F,b'70.88',1769028792.837
1,H,b'33.50',1769028792.871058
1,P,b'30.00',1769028792.872573
106,F,b'71.38',1769028983.824896
106,H,b'32.14',1769028983.925578
106,P,b'30.00',1769028983.927126
88,F,b'42.31',1769029178.893522
88,H,b'41.30',1769029178.949626
88,P,b'30.03',1769029178.951162
108,F,b'30.49',1769029322.831758
108,H,b'57.41',1769029322.921489
108,P,b'29.98',1769029322.922989
1,F,b'71.15',1769029392.84597
1,H,b'34.40',1769029392.881544
1,P,b'30.01',1769029392.882968
106,F,b'71.64',1769029743.603728
106,H,b'32.01',1769029743.642974
106,P,b'30.01',1769029743.644963
88,F,b'42.37',1769029920.842444
88,H,b'41.33',1769029920.907629
88,P,b'30.03',1769029920.9094
1,F,b'71.22',1769029992.867802
1,H,b'34.56',1769029992.943349
1,P,b'30.00',1769029992.944728
108,F,b'30.61',1769030057.900736
108,H,b'57.42',1769030057.933316
108,P,b'29.98',1769030057.934841
106,F,b'71.64',1769030501.338254
106,H,b'32.01',1769030501.417919
106,P,b'30.02',1769030501.419339
1,F,b'71.28',1769030592.866145
1,H,b'33.94',1769030592.900211
1,P,b'30.00',1769030592.901593
88,F,b'42.40',1769030662.916969
88,H,b'41.34',1769030662.954153
88,P,b'30.03',1769030662.956172
108,F,b'30.63',1769030793.069823
108,H,b'57.54',1769030793.104356
108,P,b'29.99',1769030793.105837
1,F,b'71.40',1769031192.874793
1,H,b'33.06',1769031192.949805
1,P,b'30.00',1769031192.951627
106,F,b'71.53',1769031260.04527
106,H,b'32.05',1769031260.085221
106,P,b'30.01',1769031260.086953
88,F,b'42.42',1769031404.878627
88,H,b'41.35',1769031404.91406
88,P,b'30.03',1769031404.915434
108,F,b'30.61',1769031528.504884
108,H,b'57.78',1769031528.59607
108,P,b'29.99',1769031528.597647
1,F,b'71.40',1769031792.880951
1,H,b'32.93',1769031792.914658
1,P,b'30.00',1769031792.916247
106,F,b'71.60',1769032018.837911
106,H,b'32.19',1769032018.912102
106,P,b'30.01',1769032018.913725
88,F,b'42.53',1769032146.820673
88,H,b'41.44',1769032146.855648
88,P,b'30.03',1769032146.857184
108,F,b'30.69',1769032263.640299
108,H,b'57.97',1769032263.696082
108,P,b'29.98',1769032263.697779
1,F,b'71.40',1769032392.93738
1,H,b'33.91',1769032393.014627
1,P,b'29.99',1769032393.016028
106,F,b'71.83',1769032777.690223
106,H,b'32.16',1769032777.733655
106,P,b'30.00',1769032777.735461
88,F,b'42.84',1769032888.850088
88,H,b'41.46',1769032888.883631
88,P,b'30.02',1769032888.885233
1,F,b'71.49',1769032992.900693
1,H,b'33.37',1769032992.942288
1,P,b'30.00',1769032992.943717
108,F,b'30.78',1769032998.879844
108,H,b'58.15',1769032998.940359
108,P,b'29.98',1769032998.941918
106,F,b'71.82',1769033536.587704
106,H,b'32.13',1769033536.701602
106,P,b'29.99',1769033536.703007
1,F,b'71.60',1769033592.912043
1,H,b'32.39',1769033592.950166
1,P,b'29.98',1769033592.951856
88,F,b'42.93',1769033630.924806
88,H,b'41.44',1769033630.956839
88,P,b'30.01',1769033630.958121
108,F,b'30.83',1769033734.276925
108,H,b'58.34',1769033734.311528
108,P,b'29.97',1769033734.312805
1,F,b'71.65',1769034192.921758
1,H,b'31.43',1769034192.95753
1,P,b'29.98',1769034192.958756
106,F,b'71.69',1769034295.40254
106,H,b'32.15',1769034295.436323
106,P,b'30.00',1769034295.437552
88,F,b'42.40',1769034372.791354
88,H,b'41.25',1769034372.879617
88,P,b'30.03',1769034372.881427
108,F,b'30.92',1769034469.54489
108,H,b'58.47',1769034469.578851
108,P,b'29.96',1769034469.580381
1,F,b'71.60',1769034792.93058
1,H,b'31.84',1769034792.966621
1,P,b'29.98',1769034792.968117
106,F,b'71.64',1769035054.24092
106,H,b'32.27',1769035054.326594
106,P,b'29.99',1769035054.328108
88,F,b'41.88',1769035114.525542
88,H,b'41.29',1769035114.56014
88,P,b'30.02',1769035114.561595
108,F,b'30.99',1769035204.881176
108,H,b'58.65',1769035204.917232
108,P,b'29.96',1769035204.918722
1,F,b'71.74',1769035392.941925
1,H,b'33.40',1769035393.016577
1,P,b'29.96',1769035393.018093
106,F,b'71.65',1769035813.223388
106,H,b'32.29',1769035813.257429
106,P,b'29.98',1769035813.258998
88,F,b'41.65',1769035857.393127
88,H,b'41.47',1769035859.019318
88,P,b'30.01',1769035859.020868
108,F,b'31.08',1769035940.254069
108,H,b'58.81',1769035940.333209
108,P,b'29.95',1769035940.334818
1,F,b'71.47',1769035992.950492
1,H,b'33.35',1769035992.992052
1,P,b'29.97',1769035992.993894
106,F,b'71.49',1769036572.085089
106,H,b'32.30',1769036572.162598
106,P,b'29.98',1769036572.164472
1,F,b'71.04',1769036592.952323
1,H,b'33.43',1769036592.98788
1,P,b'29.97',1769036592.988833
88,F,b'41.81',1769036598.023066
88,H,b'41.57',1769036598.055596
88,P,b'29.99',1769036598.056908
108,F,b'31.23',1769036675.743744
108,H,b'59.17',1769036675.776811
108,P,b'29.94',1769036675.778828
1,F,b'70.61',1769037192.961314
1,H,b'33.82',1769037192.997292
1,P,b'29.96',1769037192.998603
106,F,b'71.33',1769037330.856757
106,H,b'32.33',1769037330.892293
106,P,b'29.96',1769037330.893854
88,F,b'41.95',1769037339.73609
88,H,b'41.60',1769037339.768995
88,P,b'29.98',1769037339.770253
108,F,b'31.35',1769037411.184604
108,H,b'59.25',1769037411.279239
108,P,b'29.93',1769037411.280729
1,F,b'70.34',1769037792.969536
1,H,b'34.04',1769037793.044084
1,P,b'29.95',1769037793.045728
88,F,b'42.12',1769038081.646889
88,H,b'41.63',1769038081.724124
88,P,b'29.97',1769038081.725716
106,F,b'71.13',1769038089.729542
106,H,b'32.35',1769038089.790116
106,P,b'29.96',1769038089.791674
108,F,b'31.42',1769038146.588667
108,H,b'59.42',1769038146.633322
108,P,b'29.93',1769038146.634807
1,F,b'71.28',1769038392.979633
1,H,b'32.55',1769038393.092838
1,P,b'29.92',1769038393.09431
88,F,b'42.28',1769038823.608747
88,H,b'41.64',1769038823.642215
88,P,b'29.98',1769038823.644062
106,F,b'71.19',1769038848.373928
106,H,b'32.46',1769038848.410999
106,P,b'29.96',1769038848.412625
108,F,b'31.57',1769038882.070129
108,H,b'59.60',1769038882.103735
108,P,b'29.93',1769038882.105483
1,F,b'71.38',1769038992.991005
1,H,b'32.73',1769038993.035119
1,P,b'29.95',1769038993.03698
88,F,b'42.40',1769039565.655847
88,H,b'41.60',1769039565.689461
88,P,b'29.98',1769039565.691238
1,F,b'71.44',1769039593.000379
1,H,b'33.17',1769039593.09635
1,P,b'29.95',1769039593.097777
106,F,b'71.49',1769039607.12762
106,H,b'32.56',1769039607.161562
106,P,b'29.95',1769039607.163065
108,F,b'31.55',1769039617.559129
108,H,b'59.66',1769039617.595765
108,P,b'29.93',1769039617.597156
1,F,b'71.71',1769040193.004603
1,H,b'32.61',1769040193.041083
1,P,b'29.93',1769040193.042503
88,F,b'42.49',1769040307.734595
88,H,b'41.66',1769040307.84338
88,P,b'29.97',1769040307.844873
108,F,b'31.60',1769040353.045683
108,H,b'59.92',1769040353.079648
108,P,b'29.92',1769040353.081508
106,F,b'71.74',1769040365.818792
106,H,b'32.51',1769040365.852167
106,P,b'29.94',1769040365.853635
1,F,b'71.85',1769040793.019255
1,H,b'33.17',1769040793.095471
1,P,b'29.94',1769040793.096833
88,F,b'42.62',1769041049.802355
88,H,b'41.69',1769041049.836675
88,P,b'29.97',1769041049.838263
108,F,b'31.75',1769041088.530325
108,H,b'60.11',1769041088.564343
108,P,b'29.92',1769041088.565741
106,F,b'71.78',1769041124.567131
106,H,b'32.48',1769041124.667866
106,P,b'29.95',1769041124.669351
1,F,b'71.98',1769041393.023716
1,H,b'33.66',1769041393.062177
1,P,b'29.93',1769041393.063657
88,F,b'42.73',1769041791.896181
88,H,b'41.69',1769041791.970844
88,P,b'29.97',1769041791.972439
108,F,b'31.91',1769041824.039155
108,H,b'60.31',1769041824.07326
108,P,b'29.92',1769041824.074623
106,F,b'71.73',1769041883.328858
106,H,b'32.50',1769041883.363275
106,P,b'29.95',1769041883.3646
1,F,b'71.80',1769041993.0352
1,H,b'33.87',1769041993.13295
1,P,b'29.95',1769041993.134523
88,F,b'42.85',1769042534.165949
88,H,b'41.71',1769042534.201594
88,P,b'29.97',1769042534.203113
108,F,b'32.04',1769042559.614524
108,H,b'60.52',1769042559.741769
108,P,b'29.92',1769042559.743239
1,F,b'71.87',1769042593.045832
1,H,b'33.40',1769042593.082736
1,P,b'29.94',1769042593.084098
106,F,b'71.56',1769042642.187992
106,H,b'32.51',1769042642.291141
106,P,b'29.96',1769042642.292602
1,F,b'71.83',1769043193.050208
1,H,b'33.33',1769043193.0858
1,P,b'29.94',1769043193.08752
88,F,b'42.94',1769043276.366498
88,H,b'41.73',1769043276.400534
88,P,b'29.97',1769043276.402169
108,F,b'32.16',1769043295.173781
108,H,b'60.62',1769043295.277544
108,P,b'29.92',1769043295.279155
106,F,b'71.64',1769043400.95221
106,H,b'32.63',1769043400.991382
106,P,b'29.95',1769043400.993155
1,F,b'71.91',1769043793.089294
1,H,b'35.12',1769043793.123558
1,P,b'29.93',1769043793.124773
88,F,b'43.05',1769044018.650815
88,H,b'41.75',1769044018.683514
88,P,b'29.96',1769044018.685179
108,F,b'32.25',1769044030.775636
108,H,b'60.79',1769044030.84672
108,P,b'29.91',1769044030.848237
106,F,b'71.92',1769044159.844893
106,H,b'32.69',1769044159.992276
106,P,b'29.93',1769044159.99403
1,F,b'72.18',1769044393.069603
1,H,b'33.98',1769044393.111505
1,P,b'29.93',1769044393.112985
88,F,b'43.14',1769044761.007596
88,H,b'41.75',1769044761.041116
88,P,b'29.96',1769044761.042506
108,F,b'32.40',1769044766.524105
108,H,b'60.93',1769044766.594287
108,P,b'29.91',1769044766.595686
106,F,b'71.96',1769044918.727986
106,H,b'32.63',1769044918.770614
106,P,b'29.94',1769044918.772459
1,F,b'72.21',1769044993.096383
1,H,b'33.26',1769044993.184117
1,P,b'29.93',1769044993.185753
88,F,b'43.23',1769045503.380263
88,H,b'41.77',1769045503.455283
88,P,b'29.95',1769045503.456743
1,F,b'72.28',1769045593.092046
1,H,b'33.58',1769045593.128441
1,P,b'29.92',1769045593.129842
106,F,b'71.89',1769045677.635223
106,H,b'32.67',1769045677.670242
106,P,b'29.94',1769045677.671645
1,F,b'72.21',1769046193.201099
1,H,b'33.34',1769046193.278377
1,P,b'29.93',1769046193.280035
108,F,b'32.76',1769046237.933454
108,H,b'61.18',1769046237.98753
108,P,b'29.91',1769046237.988926
88,F,b'43.32',1769046245.75908
88,H,b'41.78',1769046245.792651
88,P,b'29.95',1769046245.794047
106,F,b'71.74',1769046436.496801
106,H,b'32.68',1769046436.530821
106,P,b'29.94',1769046436.532083
1,F,b'72.23',1769046793.105049
1,H,b'33.69',1769046793.140717
1,P,b'29.92',1769046793.142113
108,F,b'32.90',1769046973.791351
108,H,b'61.21',1769046973.829907
108,P,b'29.90',1769046973.831843
88,F,b'43.32',1769046988.238079
88,H,b'41.79',1769046988.278499
88,P,b'29.95',1769046988.280257
106,F,b'71.60',1769047195.348467
106,H,b'32.74',1769047195.425018
106,P,b'29.93',1769047195.42646
1,F,b'72.27',1769047393.146786
1,H,b'34.80',1769047393.247395
1,P,b'29.92',1769047393.248852
108,F,b'33.04',1769047709.649623
108,H,b'61.30',1769047709.687612
108,P,b'29.90',1769047709.688999
88,F,b'43.38',1769047730.566609
88,H,b'41.82',1769047730.602615
88,P,b'29.95',1769047730.604128
106,F,b'71.80',1769047954.314108
106,H,b'32.88',1769047954.355184
106,P,b'29.92',1769047954.3566
1,F,b'72.14',1769047993.12223
1,H,b'35.78',1769047993.166545
1,P,b'29.92',1769047993.167847
108,F,b'33.21',1769048445.565551
108,H,b'61.34',1769048445.602212
108,P,b'29.89',1769048445.604073
88,F,b'43.39',1769048472.908545
88,H,b'41.80',1769048472.943532
88,P,b'29.94',1769048472.945021
1,F,b'71.98',1769048593.130008
1,H,b'36.37',1769048593.165117
1,P,b'29.91',1769048593.16648
106,F,b'71.98',1769048713.313959
106,H,b'32.83',1769048713.404823
106,P,b'29.91',1769048713.406502
108,F,b'33.30',1769049181.465287
108,H,b'61.42',1769049181.500702
108,P,b'29.89',1769049181.502172
1,F,b'72.12',1769049193.139197
1,H,b'35.22',1769049193.232963
1,P,b'29.91',1769049193.234458
88,F,b'43.43',1769049215.23161
88,H,b'41.83',1769049215.267074
88,P,b'29.94',1769049215.268374
106,F,b'71.98',1769049472.327237
106,H,b'32.85',1769049472.361398
106,P,b'29.92',1769049472.362819
1,F,b'72.37',1769049793.150023
1,H,b'34.55',1769049793.186569
1,P,b'29.90',1769049793.188049
108,F,b'33.42',1769049917.419379
108,H,b'61.46',1769049917.466818
108,P,b'29.89',1769049917.468628
88,F,b'43.45',1769049957.620726
88,H,b'41.85',1769049957.656081
88,P,b'29.94',1769049957.657345
106,F,b'71.87',1769050231.239922
106,H,b'32.86',1769050231.285677
106,P,b'29.91',1769050231.287319
1,F,b'72.32',1769050393.16475
1,H,b'33.48',1769050393.245406
1,P,b'29.91',1769050393.24703
108,F,b'33.51',1769050653.492311
108,H,b'61.53',1769050653.538053
108,P,b'29.89',1769050653.539548
88,F,b'43.47',1769050699.976821
88,H,b'41.85',1769050700.052526
88,P,b'29.93',1769050700.054309
106,F,b'71.71',1769050990.031611
106,H,b'32.88',1769050990.067261
106,P,b'29.91',1769050990.068791
1,F,b'72.46',1769050993.168382
1,H,b'33.93',1769050993.206551
1,P,b'29.89',1769050993.208194
108,F,b'33.57',1769051389.506896
108,H,b'61.61',1769051389.581033
108,P,b'29.87',1769051389.582639
88,F,b'43.52',1769051442.326926
88,H,b'41.86',1769051442.364567
88,P,b'29.92',1769051442.366153
1,F,b'72.50',1769051593.177541
1,H,b'34.23',1769051593.273696
1,P,b'29.88',1769051593.275547
106,F,b'71.64',1769051748.907756
106,H,b'32.98',1769051748.941017
106,P,b'29.90',1769051748.942523
108,F,b'33.60',1769052125.550962
108,H,b'61.69',1769052125.590064
108,P,b'29.87',1769052125.59195
88,F,b'43.54',1769052184.545022
88,H,b'41.88',1769052184.577539
88,P,b'29.91',1769052184.579005
1,F,b'72.41',1769052193.363177
1,H,b'35.43',1769052193.397247
1,P,b'29.88',1769052193.398787
106,F,b'71.87',1769052507.749879
106,H,b'33.07',1769052507.803571
106,P,b'29.88',1769052507.805294
1,F,b'72.27',1769052793.19581
1,H,b'35.75',1769052793.230801
1,P,b'29.88',1769052793.232086
108,F,b'33.58',1769052861.55124
108,H,b'61.80',1769052861.587257
108,P,b'29.86',1769052861.58893
88,F,b'43.56',1769052926.988734
88,H,b'41.91',1769052927.024191
88,P,b'29.91',1769052927.025613
106,F,b'72.05',1769053266.630907
106,H,b'33.01',1769053266.70609
106,P,b'29.88',1769053266.707846
1,F,b'72.28',1769053393.207196
1,H,b'34.76',1769053393.288969
1,P,b'29.87',1769053393.290392
108,F,b'33.64',1769053597.465511
108,H,b'62.03',1769053597.501877
108,P,b'29.86',1769053597.503201
88,F,b'43.59',1769053669.442526
88,H,b'41.91',1769053669.477074
88,P,b'29.90',1769053669.478515
1,F,b'72.37',1769053993.225514
1,H,b'33.98',1769053993.263987
1,P,b'29.86',1769053993.265376
106,F,b'72.05',1769054025.591931
106,H,b'33.02',1769054025.624931
106,P,b'29.88',1769054025.626469
108,F,b'33.71',1769054333.402865
108,H,b'62.07',1769054333.4394
108,P,b'29.85',1769054333.440893
88,F,b'43.65',1769054411.944716
88,H,b'41.93',1769054412.036818
88,P,b'29.89',1769054412.038327
1,F,b'72.57',1769054593.220256
1,H,b'34.31',1769054593.294843
1,P,b'29.85',1769054593.296477
106,F,b'71.96',1769054784.468058
106,H,b'33.03',1769054784.502386
106,P,b'29.87',1769054784.50366
108,F,b'33.78',1769055069.450028
108,H,b'62.04',1769055069.483964
108,P,b'29.83',1769055069.48524
88,F,b'43.66',1769055154.402703
88,H,b'41.94',1769055154.441177
88,P,b'29.88',1769055154.442695
1,F,b'72.64',1769055193.234723
1,H,b'34.36',1769055193.298578
1,P,b'29.85',1769055193.299925
106,F,b'71.76',1769055543.239544
106,H,b'33.05',1769055543.275017
106,P,b'29.86',1769055543.27659
1,F,b'72.41',1769055793.238291
1,H,b'34.53',1769055793.321021
1,P,b'29.85',1769055793.322577
108,F,b'33.84',1769055805.318026
108,H,b'62.04',1769055805.351623
108,P,b'29.83',1769055805.353588
88,F,b'43.68',1769055896.866334
88,H,b'41.95',1769055896.9165
88,P,b'29.87',1769055896.917995
106,F,b'71.58',1769056301.932769
106,H,b'33.07',1769056301.977855
106,P,b'29.86',1769056301.979192
1,F,b'71.71',1769056393.250345
1,H,b'34.58',1769056393.288764
1,P,b'29.87',1769056393.290317
108,F,b'33.96',1769056541.440143
108,H,b'62.02',1769056541.47649
108,P,b'29.83',1769056541.477786
88,F,b'43.72',1769056639.185862
88,H,b'41.97',1769056639.2206
88,P,b'29.87',1769056639.222009
1,F,b'71.11',1769056993.257763
1,H,b'34.85',1769056993.293831
1,P,b'29.86',1769056993.295338
106,F,b'71.37',1769057060.66806
106,H,b'33.08',1769057060.702638
106,P,b'29.86',1769057060.703959
108,F,b'34.00',1769057277.481604
108,H,b'61.89',1769057277.559379
108,P,b'29.83',1769057277.560761
88,F,b'43.74',1769057381.641874
88,H,b'41.98',1769057381.675405
88,P,b'29.87',1769057381.676902
1,F,b'71.67',1769057593.264053
1,H,b'34.59',1769057593.299068
1,P,b'29.82',1769057593.300709
106,F,b'71.15',1769057819.335664
106,H,b'33.08',1769057819.371366
106,P,b'29.85',1769057819.372807
108,F,b'34.18',1769058013.541294
108,H,b'61.86',1769058013.575964
108,P,b'29.81',1769058013.577687
88,F,b'43.75',1769058124.209711
88,H,b'41.98',1769058124.311987
88,P,b'29.86',1769058124.313704
1,F,b'71.58',1769058193.27646
1,H,b'34.50',1769058193.313037
